ServerID,CPU_Utilization_Pct,Memory_Utilization_Pct,Disk_IOPS,Network_Latency_MS,Active_Thread_Count,Error_Log_Rate_per_Min
SRV-7536,55.8,57.5,1371,24.4,152,0
SRV-7537,41.6,69.5,831,11.1,182,0
SRV-7538,23.6,54.7,1360,19.0,177,0
SRV-7539,29.0,61.8,1730,20.8,117,1
SRV-7540,76.9,83.4,4608,87.0,294,370
SRV-7541,39.0,65.5,1280,19.3,148,0
SRV-7542,44.9,50.0,1012,20.6,134,0
SRV-7543,61.2,45.2,1217,13.3,162,0
SRV-7544,32.8,65.7,1495,18.1,204,0
SRV-7545,54.6,64.2,956,22.5,188,0
SRV-7546,39.7,51.2,1108,18.5,208,0
SRV-7547,49.8,48.7,1005,22.8,146,2
SRV-7548,37.8,59.5,1246,22.5,162,0
SRV-7549,32.1,52.7,1498,22.1,145,0
SRV-7550,45.5,49.5,755,23.7,199,0
SRV-7551,26.6,49.9,1349,16.0,174,0
SRV-7552,49.4,42.9,910,18.4,161,0
SRV-7553,33.9,46.1,1264,19.4,199,1
SRV-7554,37.7,50.5,1305,19.8,183,0
SRV-7555,42.1,38.3,1240,27.4,170,0
SRV-7556,34.7,54.0,1285,23.3,199,0
SRV-7557,40.6,57.7,1457,22.0,151,1
SRV-7558,50.2,53.4,1651,17.1,206,0
SRV-7559,43.8,64.8,1350,15.1,242,0
SRV-7560,44.6,58.0,1294,16.1,187,0
SRV-7561,54.2,63.5,1418,17.2,165,0
SRV-7562,45.3,55.6,1246,13.0,199,0
SRV-7563,40.6,57.5,1068,23.9,190,0
SRV-7564,42.4,44.1,886,7.6,203,1
SRV-7565,74.4,73.5,1154,18.1,204,0
SRV-7566,59.0,66.2,1104,20.5,167,0
SRV-7567,30.0,36.5,1414,15.2,129,0
SRV-7568,43.5,55.0,1205,17.6,195,0
SRV-7569,38.3,44.2,1021,20.6,188,0
SRV-7570,43.7,55.3,939,13.6,142,0
SRV-7571,36.1,57.6,1513,16.7,162,0
SRV-7572,22.3,64.1,1207,17.7,217,2
SRV-7573,45.2,54.9,996,21.8,185,1
SRV-7574,42.2,57.3,1059,12.8,167,0
SRV-7575,52.0,51.0,1004,15.5,135,0
SRV-7576,46.7,62.4,1124,18.4,202,0
SRV-7577,40.5,52.4,939,13.8,191,0
SRV-7578,36.5,47.9,1279,20.4,168,0
SRV-7579,47.9,51.7,1264,17.5,180,0
SRV-7580,38.7,49.9,977,15.1,143,0
SRV-7581,63.4,98.9,1200,113.0,757,26
SRV-7582,48.5,61.5,951,20.2,158,0
SRV-7583,43.0,51.0,1176,18.0,190,0
SRV-7584,38.0,45.5,1100,19.6,178,0
SRV-7585,43.8,64.6,830,17.0,171,1
SRV-7586,53.8,58.8,1149,16.4,205,0
SRV-7587,27.8,57.4,928,16.7,209,0
SRV-7588,35.9,49.3,1444,13.0,220,0
SRV-7589,50.3,51.1,1333,24.1,176,0
SRV-7590,55.0,46.1,1108,17.9,145,0
SRV-7591,47.9,50.7,1133,14.3,178,0
SRV-7592,45.2,68.2,1234,22.5,145,0
SRV-7593,43.6,53.0,1348,23.8,163,0
SRV-7594,51.5,56.9,816,17.7,187,0
SRV-7595,43.8,57.4,1174,16.2,107,0
SRV-7596,43.4,61.8,1373,20.8,160,0
SRV-7597,22.9,64.5,1061,19.1,194,0
SRV-7598,46.3,58.0,1060,18.0,221,0
SRV-7599,32.6,49.1,1522,14.0,192,0
